EAN,Name,Price,Link,image
8021660018787,SC Stylecraft Instinct Clipper,"€229,99",https://www.kappersleverancier.nl/products/sc-stylecraft-instinct-clipper,www.kappersleverancier.nl/cdn/shop/files/15_512x600.png?v=1713422430
8021660019371,Gamma + Stylecraft Saber Trimmer Black,"€169,99",https://www.kappersleverancier.nl/products/gamma-stylecraft-saber-trimmer-black,www.kappersleverancier.nl/cdn/shop/files/trimmer_512x529.png?v=1712901977
8021660016783,Gamma + Clipper Stylecraft X-Ergo Tondeuse,"€139,99",https://www.kappersleverancier.nl/products/gamma-clipper-stylecraft-x-ergo-tondeuse,www.kappersleverancier.nl/cdn/shop/files/gamma_512x640.jpg?v=1708522045
8021660018480,Gamma + Stylecraft Saber Trimmer,"€168,99",https://www.kappersleverancier.nl/products/gamma-stylecraft-saber-trimmer,www.kappersleverancier.nl/cdn/shop/files/deeeee_512x463.png?v=1711619684
No barcode found,Kranenset kapper kraan,"€49,99",https://www.kappersleverancier.nl/products/kranenset-kapper-kraan,www.kappersleverancier.nl/cdn/shop/files/Kranenset_512x340.jpg?v=1710406966
8682035087588,Nishman Blade Oil,"€3,99",https://www.kappersleverancier.nl/products/nishman-blade-oil,www.kappersleverancier.nl/cdn/shop/files/blade_512x512.png?v=1706704091
8021660018794,SC Stylecraft Instinct Trimmer,"€194,99",https://www.kappersleverancier.nl/products/gamma-sc-stylecraft-instinct-trimmer,www.kappersleverancier.nl/cdn/shop/files/sc0_512x492.png?v=1713421589
840302411407,Cologne Spray Master Diffuser,"€29,99",https://www.kappersleverancier.nl/products/cologne-spray-master-diffuser,www.kappersleverancier.nl/cdn/shop/files/spray_7e3697b5-ae4f-48be-ac4e-72ad31e33528_512x512.png?v=1709191816
8681701001798,Morfose Milk Therapy Two Phase Conditioner,"€6,99",https://www.kappersleverancier.nl/products/morfose-milk-therapy-two-phase-conditioner,www.kappersleverancier.nl/cdn/shop/files/2202phaseconditioner_512x512.jpg?v=1709112293
8682035088004,Nishman Aftershave Cologne 0 Northern Lights,"€4,99",https://www.kappersleverancier.nl/products/nishman-aftershave-cologne-0-northern-lights,www.kappersleverancier.nl/cdn/shop/files/cologne0_512x512.png?v=1706705978
8445000019140,Mirplay Barber Chair Karl,"€719,99",https://www.kappersleverancier.nl/products/barber-heren-kappersstoel-class,www.kappersleverancier.nl/cdn/shop/products/karl-1_512x512.jpg?v=1625867496
8445000021655,Mirplay Barber Chair Hugo Black,"€969,99",https://www.kappersleverancier.nl/products/barber-chair-hugo-black,www.kappersleverancier.nl/cdn/shop/files/HUGO_B_3_512x512.jpg?v=1685702185
8445000016163,Mirplay Barber Chair Clint,"€968,99",https://www.kappersleverancier.nl/products/barber-chair-clint,www.kappersleverancier.nl/cdn/shop/products/clint-br_512x512.jpg?v=1625867761
8445000019003,Mirplay Barber Chair Joey,"€509,99",https://www.kappersleverancier.nl/products/barber-chair-joey,www.kappersleverancier.nl/cdn/shop/products/Joey1_512x512.jpg?v=1632916779
No barcode found,Heren Kappersstoel Basic,"€544,99",https://www.kappersleverancier.nl/products/heren-kappersstoel-basic,www.kappersleverancier.nl/cdn/shop/products/heer-11_512x512.jpg?v=1625867489
4016187057924,Barber Chair Lincoln Luxe,"€789,99",https://www.kappersleverancier.nl/products/barber-chair-lincoln-luxe,www.kappersleverancier.nl/cdn/shop/products/lincoln-11_512x512.jpg?v=1625867483
8445000028876,Mirplay Barber Chair Prince,"€968,99",https://www.kappersleverancier.nl/products/barber-chair-prince,www.kappersleverancier.nl/cdn/shop/products/PRINCE2-1_512x512.jpg?v=1664387948
8445000027107,Barber Chair Silvia B,"€549,99",https://www.kappersleverancier.nl/products/barber-chair-silvia-b,www.kappersleverancier.nl/cdn/shop/products/image_834e0c6c-2565-4697-8d89-90b5c22d5325_512x532.png?v=1667996932
4016187042784,Mirplay Barber Chair Dave,"€549,99",https://www.kappersleverancier.nl/products/mirplay-barber-chair-dave,www.kappersleverancier.nl/cdn/shop/files/DAVE_6-scaled_512x512.jpg?v=1696944770
No barcode found,Francis Barbier Kaptafel,"€1.089,99",https://www.kappersleverancier.nl/products/francis-barbier-kaptafel,www.kappersleverancier.nl/cdn/shop/products/FRANCIS1_512x512.jpg?v=1637757974
4016187004676,Mirplay Led Spiegel Vierkant Ciara,"€199,99",https://www.kappersleverancier.nl/products/led-spiegel-vierkant-ciara,www.kappersleverancier.nl/cdn/shop/files/CIARA_1_512x512.jpg?v=1685707800
No barcode found,Kaptafel 1 spiegel 343,"€959,99",https://www.kappersleverancier.nl/products/kaptafel-1-spiegel-343,www.kappersleverancier.nl/cdn/shop/products/BRL343_512x512.jpg?v=1642149585
No barcode found,Kaptafel 3 spiegels 301,"€2.420,99",https://www.kappersleverancier.nl/products/kaptafel-3-spiegels-301,www.kappersleverancier.nl/cdn/shop/products/BRL301_512x512.jpg?v=1642071867
No barcode found,Kaptafel 1 spiegel met wasbak 162,"€1.199,99",https://www.kappersleverancier.nl/products/kaptafel1spiegelmetwasbak162,www.kappersleverancier.nl/cdn/shop/files/162_1_512x512.jpg?v=1698305154
No barcode found,Kaptafel 2 spiegels met wasbak 124,"€2.178,99",https://www.kappersleverancier.nl/products/kaptafel-2-spiegels-met-wasbak-124,www.kappersleverancier.nl/cdn/shop/products/BRL124_512x512.jpg?v=1635339118
8445000012851,Mirplay Kaptafel Bobbie,"€211,99",https://www.kappersleverancier.nl/products/kaptafel-zoel,www.kappersleverancier.nl/cdn/shop/products/Bobbie-Zwart_512x512.jpg?v=1633696798
8445000022911,Mirplay Kaptafel Poppy,"€532,99",https://www.kappersleverancier.nl/products/mirplay-poppy,www.kappersleverancier.nl/cdn/shop/products/poppy_512x544.jpg?v=1610375442
8445000026148,Kaptafel Zoel,"€242,99",https://www.kappersleverancier.nl/products/zoel,www.kappersleverancier.nl/cdn/shop/products/zoel-zwart_512x776.jpg?v=1625867201
8445000026872,Mirplay Kaptafel Robin,"€484,99",https://www.kappersleverancier.nl/products/robin,www.kappersleverancier.nl/cdn/shop/products/robin_512x512.jpg?v=1625867199
8681701001378,Morfose Hair Color Wax Kleur wax,"€3,99",https://www.kappersleverancier.nl/collections/haarstyling/products/color-wax-1,www.kappersleverancier.nl/cdn/shop/files/black_4610a479-561a-4493-be2f-239393b91442_512x512.png?v=1703238384
8681665066932,Nishman Hair Styling Powder,"€4,99",https://www.kappersleverancier.nl/collections/haarstyling/products/powder-hair-styling-wax,www.kappersleverancier.nl/cdn/shop/products/powder_512x916.jpg?v=1669374328
8681665066000,Nishman Hair Styling Wax,"€5,99",https://www.kappersleverancier.nl/collections/haarstyling/products/water-based-hair-styling-aqua-wax,www.kappersleverancier.nl/cdn/shop/products/nish-man-alle-9_512x512.jpg?v=1625867880
8680678835337,Morfose Pro Hair Wax,"€2,99",https://www.kappersleverancier.nl/collections/haarstyling/products/x5-strong-hold-pro-hair-orange,www.kappersleverancier.nl/cdn/shop/products/morfose_512x1067.jpg?v=1625867371
8682035081074,Nishman Matte Styling Serie 100 ml Pomade,"€4,99",https://www.kappersleverancier.nl/collections/haarstyling/products/new-matte-styling-serie-100-ml,www.kappersleverancier.nl/cdn/shop/products/nish-man-matte-wax-alles_512x512.jpg?v=1625867954
8697926007439,Red one Hair Wax Rood,"€2,39",https://www.kappersleverancier.nl/collections/haarstyling/products/red-one-wax-rood,www.kappersleverancier.nl/cdn/shop/products/redone-rood_500x500.jpg?v=1625867310
5060656210005,Slick Gorilla Hair Styling Powder,"€9,99",https://www.kappersleverancier.nl/collections/haarstyling/products/slick-gorilla-hair-styling-powder,www.kappersleverancier.nl/cdn/shop/files/slick2_405x1200.jpg?v=1713946631
8699009429619,Ossion Matte Wax,"€3,99",https://www.kappersleverancier.nl/collections/haarstyling/products/matte-wax,www.kappersleverancier.nl/cdn/shop/files/ossion-matte-styling-wax_512x512.png?v=1703240505
No barcode found,Haar kam / hair comb diverse soorten,"€3,99",https://www.kappersleverancier.nl/collections/haarstyling/products/haarkam-diverse-soorten,www.kappersleverancier.nl/cdn/shop/products/kam1_512x512.png?v=1625867678
8697926016844,Redone Bubblegum Hairgel,"€3,99",https://www.kappersleverancier.nl/collections/haarstyling/products/bubblegum-hairgel,www.kappersleverancier.nl/cdn/shop/products/redone-bubblegum_458x458.jpg?v=1625867370
8697926016240,Redone Hair Wax Zwart,"€2,39",https://www.kappersleverancier.nl/collections/haarstyling/products/hair-wax-zwart,www.kappersleverancier.nl/cdn/shop/products/redone-zwart_250x250.jpg?v=1625867316
8690021107011,Bonhair waxy gum gel,"€5,99",https://www.kappersleverancier.nl/collections/haarstyling/products/bonhair-waxy-gum-gel,www.kappersleverancier.nl/cdn/shop/files/bonhairrood_512x502.jpg?v=1684240827
8682035081371,Professionele Styling kam 034,"€3,99",https://www.kappersleverancier.nl/collections/haarstyling/products/professionele-styling-kam-034,www.kappersleverancier.nl/cdn/shop/products/034_512x512.png?v=1646396415
8697926007422,Red one Hair Wax Blauw,"€2,39",https://www.kappersleverancier.nl/collections/haarstyling/products/hair-wax-blauw,www.kappersleverancier.nl/cdn/shop/products/redone-blauw_500x500.jpg?v=1625867311
8682035083368,Professionele Styling kam 121,"€3,99",https://www.kappersleverancier.nl/collections/haarstyling/products/professionele-styling-kam-121,www.kappersleverancier.nl/cdn/shop/products/121_512x512.png?v=1646395977
8682035085799,Nishman Foam Wax,"€4,99",https://www.kappersleverancier.nl/collections/haarstyling/products/nishman-foam-wax,www.kappersleverancier.nl/cdn/shop/products/image_10c42e9f-1f4c-49ee-b17b-395c646e7fdf_512x512.jpg?v=1657202897
8682035081616,Nishman Hairgel Gum Effect 5+ 300 ml,"€5,99",https://www.kappersleverancier.nl/collections/haarstyling/products/hairgel-gum-effect-5,www.kappersleverancier.nl/cdn/shop/products/gel_512x512.png?v=1676027580
8697926016141,Redone Hair Wax Wit,"€2,39",https://www.kappersleverancier.nl/collections/haarstyling/products/hair-wax-wit,www.kappersleverancier.nl/cdn/shop/products/redone-wit_500x500.jpg?v=1625867317
8697926007262,Red one Hair Wax Grijs,"€2,39",https://www.kappersleverancier.nl/collections/haarstyling/products/hair-wax-grijs,www.kappersleverancier.nl/cdn/shop/files/red-one-redone-haarwax-quicksilver-aqua-hair-wax-f_3ea45948-1c02-44d9-b433-9743e31076a9_512x407.png?v=1698928164
8697926024191,Red one Hair Wax Oranje,"€2,39",https://www.kappersleverancier.nl/collections/haarstyling/products/hair-wax-oranje,www.kappersleverancier.nl/cdn/shop/products/redone-oranje_500x500.jpg?v=1625867312
8697926016257,Red one Hair Wax Paars,"€2,39",https://www.kappersleverancier.nl/collections/haarstyling/products/hair-wax-paars,www.kappersleverancier.nl/cdn/shop/products/redone-paars_512x455.jpg?v=1625867313
